MacBook Pro M2 Pro 14" 16GB RAM 512GB SSD,R$ 14.999
PC Gamer RTX 4070 Ti / Ryzen 7 7700X,R$ 12.500
Apple Gamer Desktop 9 64GB 2TB SSD,R$ 4.634
Asus Notebook 5 32GB 512GB SSD,R$ 10.453
Samsung Desktop 9 16GB 2TB SSD,R$ 11.660
MSI Desktop 9 32GB 2TB SSD,R$ 3.620
LG Desktop i9-12900K 8GB 256GB SSD,R$ 9.385
Acer Notebook i7-13700K 8GB 256GB SSD,R$ 4.152
LG Notebook undefined 8GB 1TB SSD,R$ 10.780
MSI Notebook i7-13700K 64GB 256GB SSD,R$ 5.197
Apple Desktop 5 16GB 256GB SSD,R$ 8.947
Apple Notebook 5 16GB 4TB SSD,R$ 3.319
Lenovo Desktop i7-13700K 16GB 1TB SSD,R$ 2.812
HP Gamer Desktop i5-13600K 8GB 2TB SSD,R$ 4.478
Samsung Notebook Pro 32GB 4TB SSD,R$ 3.352
Asus Desktop i9-13900K 8GB 4TB SSD,R$ 6.314
MSI Notebook 5 32GB 1TB SSD,R$ 9.789
Gigabyte Gamer Notebook 5 32GB 1TB SSD,R$ 5.211
iMac M1 24" 8GB RAM 256GB SSD Azul,R$ 9.999
Lenovo Gamer Notebook i7-13700K 64GB 512GB SSD,R$ 8.072
Apple Desktop 7 32GB 256GB SSD,R$ 9.586
LG Gamer Desktop 7 8GB 512GB SSD,R$ 7.934
Asus Notebook 9 32GB 2TB SSD,R$ 3.253
HP Notebook 7 32GB 1TB SSD,R$ 9.105
Apple Gamer Desktop Pro 32GB 512GB SSD,R$ 11.904
Samsung Notebook i7-13700K 64GB 2TB SSD,R$ 7.232
Lenovo Notebook 5 64GB 256GB SSD,R$ 4.953
MSI Gamer Notebook i7-13700K 16GB 2TB SSD,R$ 9.231
Gigabyte Gamer Notebook 9 32GB 2TB SSD,R$ 9.087
HP Gamer Desktop i7-13700K 64GB 2TB SSD,R$ 11.943
